Designator,Footprint,Quantity,Value,LCSC Part #
D1,D_SOD-123,1,~,
D2,D_SOD-323,1,~,
D3,D_SMA,1,~,
D4,D_SMB,1,~,
Q1,SOT-23,1,NPN,
Q2,SOT-223,1,NPN,
Q3,SOT-89-3,1,NPN,
Q4,TO-252-2,1,NPN,
R1,0201,1,R,
R2,0402,1,R,
R3,0603,1,R,
R4,0805,1,R,
R5,1206,1,R,
R6,1210,1,R,
TP1,TestPoint_Pad_D1.0mm,1,TestPoint,
TP2,TestPoint_Pad_D1.5mm,1,TestPoint,
TP3,TestPoint_Pad_D2.0mm,1,TestPoint,
TP4,TestPoint_Pad_D2.5mm,1,TestPoint,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,IR2302,
U2,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
